sample,field,tillage,irrigation,year,total.fame,actinomycete.67,actinomycete.83,actinomycete.85,actinomycete.99,actinomycete.105,actinomycete.119,g.minus.78,g.minus.100,g.minus.116,g.minus.117,g.plus.21,g.plus.22,g.plus.35,g.plus.37,g.plus.52,g.plus.53,g.plus.72,g.plus.73,g.plus.109,g.plus.111,amf.58,sap.fungi.87,sap.fungi.88,sap.fungi.89,sap.fungi.90,sap.fungi.91,sap.fungi.92,sap.fungi.93,sap.fungi.94,sap.fungi.95,euk.protozoa,BactSum,FungSum,FBRatio,GPosSum,GNegSum,ActSum
RN 4,RN1,no,yes,2017,,9.888,2.08,1.319,0.803,2.471,0,2.136,0.279,0,5.252,0.957,0,8.236,5.28,4.138,0.352,2.915,3.073,1.901677224,0.385,22.029,0.586,0.832,0.261,7.685,18.53,0,20.383,0,3.037,3.589,51.46567722,73.343,1.425085687,27.23767722,7.667,16.561
RN 5,RN1,no,no,2017,,7.454,1.554,0.934,0.614,1.378,0,1.48,0.138,0,3.467,0.547,0.039,6.045,3.238,2.91,0.289,1.989,2,0.912630716,0.155,7.41,0,0.775,0.186,3.64,11.732,0,10.755,0,1.962,1.1,35.14363072,36.46,1.037456838,18.12463072,5.085,11.934
RN 6,RN1,no,no,2017,,6.116,1.181,0.893,0.608,1.391,0,1.466,0.135,0,2.909,0.615,0.036,6.01,3.452,2.996,0.299,1.919,2.027,0.951977476,0.202,11.225,0.408,0.536,0.168,6.312,12.066,0,13.794,0,2.763,1.68,33.20697748,47.272,1.42355624,18.50797748,4.51,10.189
TG 1,TG1,yes,no,2017,,9.148,1.888,1.376,0.99,2.079,0,2.288,0.355,0,5.484,0.821,0,8.501,4.835,4.281,0.391,2.951,3.188,1.527614736,0.387,5.436,0,1.098,0.27,12.576,19.52,0,13.363,0,2.488,1.419,50.49061474,54.751,1.084379746,26.88261474,8.127,15.481
TG 2,TG1,yes,no,2017,,6.291,1.352,1.045,0.722,1.59,0,1.526,0.43,0,4.122,0.495,0,5.991,3.212,2.829,0.248,2.152,2.084,0.986008588,0.376,7.11,0.403,0.476,0.165,9.261,16.786,0,16.633,0,1.709,1.746,35.45100859,52.543,1.482129905,18.37300859,6.078,11
TG 3,TG1,yes,yes,2017,,8.53,1.21,1.071,0.857,1.63,0,2.148,0.383,0,5.111,0.734,0,8.442,4.45,3.618,0.346,2.824,2.727,1.51889064,0.351,8.629,0.369,0.663,0.258,10.434,20.643,0,19.193,0,2.515,1.825,45.95089064,62.704,1.364587261,25.01089064,7.642,13.298
TG 4,TG1,yes,yes,2017,,10.443,1.457,1.79,1.244,2.283,0,2.682,0.573,0,6.27,1.018,0.051,10.782,5.669,4.598,0.482,3.496,3.371,1.760684444,0.481,15.969,0.567,0.791,0.303,14.601,24.151,0,28.684,0,3.12,2.61,58.45068444,88.186,1.508724848,31.70868444,9.525,17.217
JA 117,JA3,yes,no,2018,31.135,1.546,0.438,0.328,0.109,0.433,0,0.427,0.064,0,0.699,0.179,0,1.492,0.838,0.885,0.054,0.483,0.585,0.041,0,0.695,0.18,0.073,0,2.451,2.878,0,1.565,0,0,0.14,8.601,7.842,0.912,4.557,1.19,2.854
JA 118,JA3,yes,no,2018,23.386,1.237,0.363,0.226,0.075,0.371,0,0.33,0,0,0.51,0.084,0,1.054,0.584,0.666,0.04,0.38,0.446,0.032,0,0.48,0.191,0.061,0,1.251,1.834,0,1.191,0.415,0,0.108,6.398,5.423,0.848,3.286,0.84,2.272
JA 119,JA3,yes,no,2018,27.791,1.285,0.437,0.27,0.079,0.475,0,0.37,0,0,0.621,0.148,0,1.245,0.685,0.74,0.04,0.465,0.542,0.039,0,0.586,0.313,0,0,1.547,2.687,0,1.137,0.68,0,0.689,7.441,6.95,0.934,3.904,0.991,2.546
JA 120,JA3,yes,no,2018,26.473,1.383,0.385,0.277,0.095,0.379,0,0.383,0,0,0.588,0.114,0,1.329,0.735,0.777,0.037,0.441,0.482,0,0,0.614,0,0.061,0,1.813,2.372,0,1.636,1.037,0,0.155,7.405,7.533,1.017,3.915,0.971,2.519
KS 121,KS1,yes,yes,2018,95.189,4.401,0.979,0.866,1.643,0.895,0,1.099,0,0,1.807,0.425,0,4.202,2.318,2.284,0.156,1.297,1.445,0.096,0,3.83,0.269,0.301,0.077,5.023,8.232,0,5.521,2.389,0,0.508,23.913,25.642,1.072,12.223,2.906,8.784
KS 122,KS1,yes,yes,2018,75.936,3.443,0.856,0.904,0.333,0.732,0,0.849,0.163,0,1.526,0.371,0.073,3.327,1.829,2.071,0.122,1.032,1.218,0.057,0,2.076,0.263,0.188,0,3.651,7.439,0,4.634,1.556,0,0.841,18.906,19.807,1.048,10.1,2.538,6.268
KS 123,KS1,yes,yes,2018,95.42,4.528,1.042,1.011,0.431,1.012,0,1.182,0.235,0,1.816,0.439,0.05,4.283,2.64,2.675,0.18,1.329,1.598,0.077,0,2.273,0.326,0.275,0,4.306,8.625,0,5.752,2.773,0,1.11,24.528,24.33,0.992,13.271,3.233,8.024
KS 124,KS1,yes,yes,2018,76.225,3.945,0.948,0.846,0.314,0.817,0,0.935,0.176,0,1.759,0.491,0,3.644,2.049,2.04,0.106,1.129,1.282,0.069,0,2.31,0.284,0.223,0,3.605,7.133,0,4.354,1.482,0,0.701,20.55,19.391,0.944,10.81,2.87,6.87
KS 125,KS2,yes,no,2018,78.779,3.356,0.736,1.121,0.29,0.998,0,0.976,0,0,1.356,0.349,0,3.585,2.429,2.427,0.121,1.096,1.383,0.067,0,1.87,0.28,0.224,0.061,2.768,7.527,0,3.895,2.227,0,0.819,20.29,18.852,0.929,11.457,2.332,6.501
KS 126,KS2,yes,no,2018,89.603,3.144,0.875,0.829,0.335,0.826,0,0.919,0,0,1.408,0.342,0.042,3.471,2.543,2.269,0.128,1.035,1.333,0.078,0,1.793,0.367,0.189,0.094,6.807,8.522,0,5.676,4.547,0,0.808,19.577,27.995,1.43,11.241,2.327,6.009
KS 127,KS2,yes,no,2018,68.534,2.968,0.752,0.831,0.25,0.781,0,0.899,0,0,1.335,0.355,0,3.187,2.155,2.145,0.109,0.964,1.23,0.072,0,1.664,0.24,0.206,0.056,3.354,6.784,0,3.788,1.721,0,0.337,18.033,17.813,0.988,10.217,2.234,5.582
KS 128,KS2,yes,no,2018,84.818,3.492,0.769,1.056,0.328,0.832,0,0.986,0,0,1.366,0.356,0,3.773,2.296,2.508,0.129,1.107,1.392,0.067,0,1.928,0.26,0.268,0,8.094,7.157,0,4.184,1.812,0,0.589,20.457,23.703,1.159,11.628,2.352,6.477
KS 130,KS3,minimal,no,2018,105.677,4.395,2.236,0.922,0.47,1.701,0,1.197,0,0,1.991,0.482,0.038,5.718,2.846,3.62,0.202,1.949,1.909,0.07,0,6.659,0.461,0.306,0.118,4.846,9.433,0,5.497,0,1.344,0.925,29.746,28.664,0.964,16.834,3.188,9.724
KS 131,KS3,minimal,no,2018,91.19,4.495,2.881,0.862,0.367,1.303,0.097,1.039,0,0,2.135,0.425,0,5.095,2.26,3.613,0.21,1.797,1.875,0.084,0,4.387,0.406,0.277,0.077,2.455,7.765,0,4.142,0,1.113,0.752,28.538,20.622,0.723,15.359,3.174,10.005
KS 132,KS3,minimal,no,2018,137.299,6.832,3.823,1.243,0.593,1.789,0,1.56,0,0,2.927,0.724,0.083,7.8,3.71,5.171,0.318,2.582,2.672,0.113,0,8.051,0.672,0.432,0.157,3.461,11.145,0,6.828,0,1.972,0.788,41.94,32.718,0.78,23.173,4.487,14.28
BE 13,BE1,no,yes,2018,101.808,4.448,1.116,0.999,0.618,1.416,0,1.305,0,0,2.611,0.577,0.062,6.529,2.813,3.002,0.135,1.658,1.662,0.113,0,1.664,0.37,0.306,0.186,4.801,8.402,0,3.892,1.969,0,0.861,29.064,21.59,0.743,16.551,3.916,8.597
BE 14,BE1,no,yes,2018,114.579,5.954,1.803,1.815,0.431,1.606,0,1.348,0,0,2.308,0.742,0.071,6.547,3.285,4.121,0.234,1.855,2.149,0.094,0,2.476,0.404,0.37,0.265,3.273,11.06,0,6.094,0,2.075,1.246,34.363,26.017,0.757,19.098,3.656,11.609
BE 15,BE1,no,yes,2018,100.098,5.041,1.667,1.362,0.363,1.771,0,1.208,0,0,1.833,0.555,0,5.433,2.93,3.399,0.203,1.611,1.889,0.09,0,2.518,0.378,0.281,0.233,3.31,9.606,0,5.656,1.764,0,0.843,29.355,23.746,0.809,16.11,3.041,10.204
BE 16,BE1,no,yes,2018,88.667,4.432,1.459,1.032,0.363,1.352,0.084,1.143,0,0,1.834,0.462,0,4.829,2.553,2.996,0.153,1.464,1.663,0.091,0,2.803,0.347,0.235,0.184,2.575,7.635,0,6.009,0,1.491,0.898,25.91,21.279,0.821,14.211,2.977,8.722
BE 17,BE2,no,no,2018,271.327,10.809,1.922,3.066,1.581,3.642,0.088,3.047,0,0,4.382,1.696,0,13.163,7.368,8.63,0.455,3.57,4.543,0.202,0,8.527,0.652,0.91,0.463,12.138,24.648,0,19.121,0,5.936,1.517,68.164,72.395,1.062,39.627,7.429,21.108
BE 18,BE2,no,no,2018,107.857,5.943,1.472,0.993,0.501,1.441,0,1.399,0,0,2.578,0.664,0.049,6.784,2.93,3.449,0.2,1.903,2.081,0.102,0,2.849,0.384,0.304,0.193,4.129,8.643,0,5.285,1.967,0,0.743,32.489,23.754,0.731,18.162,3.977,10.35
BE 19,BE2,no,no,2018,120.52,7.449,1.994,1.29,0.526,1.554,0,1.602,0,0,2.929,0.784,0.089,7.777,3.48,3.995,0.234,2.231,2.558,0.126,0,2.61,0.348,0.41,0.337,3.405,9.378,0,5.31,0,2.673,0.967,38.618,24.471,0.634,21.274,4.531,12.813
BE 20,BE2,no,no,2018,137.703,7.95,1.874,1.473,0.627,1.755,0,1.682,0,0,2.982,0.799,0.058,8.294,3.776,4.353,0.268,2.395,2.749,0.137,0,3.372,0.392,0.441,0.393,3.668,11.089,0,7.225,3.211,0,1.474,41.172,29.791,0.724,22.829,4.664,13.679
EE 21,EE1,no,yes,2018,164.789,9.117,2.288,1.996,0.79,2.187,0.105,1.942,0,0,3.97,0.902,0.115,9.859,4.83,5.456,0.295,2.773,3.216,0.199,0,5.498,0.55,0.419,0.21,6.097,13.394,0,8.149,4.008,0,1.196,50.04,38.325,0.766,27.645,5.912,16.483
EE 22,EE1,no,yes,2018,201.596,9.923,2.223,2.372,0.959,2.744,0.146,2.356,0,0,4.448,1.09,0.122,11.594,5.474,6.642,0.363,3.202,3.699,0.22,0,5.055,0.754,0.522,0.262,9.181,17.424,0,9.809,5.754,0,1.658,57.577,48.761,0.847,32.406,6.804,18.367
EE 23,EE1,no,yes,2018,175.282,10.169,3.044,2.083,0.843,2.296,0.222,2.172,0,0,4.48,0.989,0.108,10.452,5.158,5.631,0.343,3.139,3.662,0.224,0,4.519,0.6,0.542,0.276,5.011,13.413,0,8.223,4.123,0,1.483,55.015,36.707,0.667,29.706,6.652,18.657
EE 24,EE1,no,yes,2018,223.132,11.215,3.014,2.244,1.385,2.809,0.293,2.506,0.3,0,5.211,1.325,0.261,11.212,6.195,6.63,0.473,3.428,4.111,0.298,0,7.068,1.021,0.722,0.344,9.563,17.839,0,14.554,0,6.549,2.059,62.91,57.66,0.917,33.933,8.017,20.96
BS 97,BS1,no,yes,2018,164.791,8.481,2.681,1.81,0.673,2.375,0.086,1.776,0,0,3.254,0.945,0,8.059,4.483,5.316,0.272,2.437,3.205,0.152,0,4.341,0.387,0.504,0.204,7.64,17.65,0,9.035,0,2.727,2.47,46.005,42.488,0.924,24.869,5.03,16.106
BS 98,BS1,no,yes,2018,179.416,9.252,2.806,2.138,0.735,2.614,0.091,2.049,0,0,3.357,0.948,0.077,8.839,5.381,6.05,0.286,2.719,3.579,0.151,0,5.861,0.477,0.628,0.311,5.854,17.16,0,10.694,0,3.183,1.951,51.072,44.168,0.865,28.03,5.406,17.636
BS 99,BS1,no,yes,2018,126.768,7.1,2.675,1.329,0.423,1.699,0.083,1.436,0,0,2.859,0.635,0,6.584,3.425,4.332,0.213,2.165,2.674,0.106,0,4.632,0.526,0.344,0.201,4.395,11.332,0,6.812,2.233,0,1.763,37.738,30.475,0.808,20.134,4.295,13.309
BS 100,BS1,no,yes,2018,194.155,8.523,2.846,2.202,0.827,3.019,0,2.041,0,0,3.271,1.038,0.092,8.37,5.424,6.076,0.3,2.738,3.834,0.165,0,11.01,0.576,0.675,0.289,11.545,23.51,0,11.935,0,2.895,1.526,50.766,62.435,1.23,28.037,5.312,17.417
BS 101,BS2,no,yes,2018,175.763,8.353,4.747,1.839,0.813,3.048,0.244,2.068,0,0,4.062,0.765,0,7.117,4.232,5.528,0.272,2.799,3.603,0.156,0,17.722,0.788,0.393,0.135,5.998,16.145,0,12.051,0,2.555,3.485,49.646,55.787,1.124,24.472,6.13,19.044
BS 102,BS2,no,yes,2018,156.229,8.841,4.999,1.606,0.697,2.382,0.176,1.944,0,0,4.778,0.837,0,7.417,4.092,5.116,0.263,2.776,3.433,0.188,0,9.263,0.617,0.423,0.169,5.228,12.29,0,9.581,0,2.532,2.377,49.545,40.103,0.809,24.122,6.722,18.701
EE 105,EE2,no,yes,2018,180.12,9.041,1.887,2.033,0.707,2.303,0.126,2.145,0,0,3.808,1.041,0.146,10.356,5.056,5.423,0.333,2.821,3.158,0.188,0,4.537,0.717,0.451,0.347,9.34,15.294,0,10.513,4.721,0,1.405,50.572,45.92,0.908,28.522,5.953,16.097
EE 106,EE2,no,yes,2018,192.134,8.804,1.681,2.224,0.818,2.481,0.213,2.444,0.23,0,3.788,1.003,0.096,10.761,5.574,6.015,0.372,3.032,3.342,0.231,0,4.814,0.789,0.567,0.327,10.576,16.038,0,10.581,4.718,0,1.786,53.109,48.41,0.912,30.426,6.462,16.221
EE 107,EE2,no,yes,2018,189,8.033,1.585,2.303,0.699,2.319,0.099,2.095,0,0,2.78,0.979,0.282,9.603,5.049,5.691,0.389,2.668,3.065,0.188,0,4.234,1.118,0.466,0.48,10.752,16.962,0,10.579,4.647,0,2.329,47.827,49.238,1.03,27.914,4.875,15.038
BH 37,BH1,yes,yes,2018,163.675,6.435,1.799,1.258,0.981,1.776,0,1.917,0,0,3.073,0.759,0.071,5.971,4.153,4.344,0.287,2.12,2.926,0.155,0,4.892,1.243,0,0.205,15.119,16.387,0,8.782,2.343,0,2.341,38.025,48.971,1.288,20.786,4.99,12.249
BH 38,BH1,yes,yes,2018,164.849,6.248,1.554,1.28,0.863,1.851,0,1.996,0,0,3.127,0.784,0.049,6.142,4.421,4.623,0.239,2.115,2.815,0.127,0,5.61,0.456,0.49,0,14.376,16.456,0,10.97,3.054,0,1.693,38.234,51.412,1.345,21.315,5.123,11.796
BH 39,BH1,yes,yes,2018,137.871,5.954,1.548,1.066,0.675,1.534,0,1.716,0,0,2.61,0.548,0,5.06,3.166,3.62,0.186,1.861,2.283,0.11,0,8.126,0.392,0.39,0.15,8.434,13.354,0,8.653,2.713,0,1.39,31.937,42.212,1.322,16.834,4.326,10.777
BH 40,BH1,yes,yes,2018,197.462,9.106,2.263,1.787,1.337,2.504,0.159,2.598,0,0,4.306,1.007,0,7.873,5.144,5.9,0.325,2.798,3.702,0.235,0,5.407,0.547,0.71,0.296,11.215,18.354,0,12.686,4.144,0,1.442,51.044,53.359,1.045,26.984,6.904,17.156
BH 41,BH2,minimal,yes,2018,134.294,5.224,1.045,1.039,0.496,1.514,0,1.455,0,0,2.648,0.763,0.132,5.912,3.23,3.566,0.21,2.075,2.194,0.186,0,3.407,0.335,0.405,0.234,6.432,11.05,0,7.125,4.613,0,0.678,31.689,33.601,1.06,18.268,4.103,9.318
BH 42,BH2,minimal,yes,2018,131.396,4.288,0.669,1.224,0.44,1.848,0,1.458,0,0,2.723,0.656,0.087,5.512,3.009,3.726,0.169,1.993,2.067,0.161,0,2.029,0.354,0.389,0.253,6.299,10.486,0,6.217,4.654,0,1.36,30.03,30.681,1.022,17.38,4.181,8.469
BH 43,BH2,minimal,yes,2018,123.956,3.767,0.622,0.983,0.4,1.448,0,1.305,0,0,2.55,0.568,0.055,4.884,2.757,3.175,0.167,1.738,1.759,0.192,0,1.896,0.381,0.331,0.212,6.281,10.053,0,6.087,4.006,0,1.64,26.37,29.247,1.109,15.295,3.855,7.22
BH 44,BH2,minimal,yes,2018,177.11,5.561,0.728,1.414,0.659,1.762,0,1.823,0,0,3.039,0.962,0,7.531,3.962,4.525,0.292,2.581,2.672,0.137,0,4.29,0.642,0.379,0.258,10.381,15.196,0,8.404,6.132,0,1.706,37.648,45.682,1.213,22.662,4.862,10.124
BH 45,BH3,minimal,yes,2018,95.198,3.529,0.535,0.625,0.418,0.989,0,0.93,0.223,0,2.288,0.401,0,3.588,2.177,2.026,0.119,1.353,1.458,0.214,0,2.041,0.197,0.284,0.21,5.026,8.834,0,6.787,2.094,0,1.337,20.873,25.473,1.22,11.336,3.441,6.096
BH 46,BH3,minimal,yes,2018,101.475,4.357,0.676,0.639,0.434,0.994,0,1.039,0.196,0,2.697,0.457,0,4.825,2.401,2.393,0.156,1.688,1.616,0.143,0,3.106,0.238,0.289,0.128,5.25,8.229,0,5.81,1.97,0,1.378,24.711,25.02,1.013,13.679,3.932,7.1
BH 47,BH3,minimal,yes,2018,152.219,5.566,0.853,0.868,0.704,1.761,0.102,1.521,0.133,0,2.978,0.651,0,5.633,3.745,3.262,0.229,2.132,2.386,0.263,0,3.075,1.013,0,0.171,10.073,14.958,0,9.748,2.847,0,1.913,32.787,41.885,1.277,18.301,4.632,9.854
BH 48,BH3,minimal,yes,2018,103.46,4.824,0.864,0.771,0.459,1.207,0,1.183,0.25,0,3.031,0.468,0.038,4.791,2.603,2.527,0.161,1.731,1.755,0.202,0,2.462,0.242,0.276,0.158,4.603,8.557,0,6.268,2.275,0,1.025,26.865,24.841,0.925,14.276,4.464,8.125
JA 113,JA2,yes,yes,2018,50.927,2.102,0.531,0.473,0.176,0.538,0,0.56,0,0,1.209,0.141,0,1.917,1.186,1.355,0.071,0.687,0.823,0.058,0,2.398,0.276,0.14,0,2.896,4.661,0,2.767,0.962,0,0.844,11.827,14.1,1.192,6.238,1.769,3.82
JA 114,JA2,yes,yes,2018,144.11,3.77,0.84,0.937,0.612,1.124,0,1.365,0,0,1.717,0.496,0.068,4.602,2.856,3.521,0.21,1.71,2.098,0.084,0,3.557,0.477,0.318,0,21.366,11.485,0,7.647,3.57,0,1.375,26.01,48.42,1.862,15.645,3.082,7.283
JA 115,JA2,yes,yes,2018,34.559,1.716,0.85,0.429,0.101,0.459,0,0.376,0.063,0,0.87,0.095,0,1.32,0.669,0.864,0.043,0.579,0.562,0.046,0,3.122,0.369,0,0,1.695,3.902,0,2.043,0,0,0.256,9.042,11.131,1.231,4.178,1.309,3.555
JA 116,JA2,yes,yes,2018,71.849,3.065,0.65,0.642,0.255,0.71,0,0.797,0,0,1.524,0.28,0,3.007,1.759,2.034,0.137,1.061,1.204,0.071,0,2.715,0.267,0.248,0.09,4.072,6.83,0,4.092,1.872,0,0.555,17.196,20.186,1.174,9.553,2.321,5.322
JA 109,JA1,no,no,2018,70.541,3.284,0.613,0.809,0.425,0.818,0,0.796,0.385,0,1.767,0.314,0.047,3.064,1.745,1.956,0.123,1.023,1.186,0.124,0,1.751,0.306,0.228,0,3.412,5.942,0,4.038,1.513,0,0.923,18.479,17.19,0.93,9.582,2.948,5.949
JA 110,JA1,no,no,2018,81.475,3.483,0.558,0.844,0.316,0.878,0,0.968,0.12,0,1.569,0.302,0,3.429,2.655,2.415,0.152,1.174,1.5,0.072,0,1.939,0.409,0.331,0.111,4.503,7.117,0,5.54,1.828,0,0.603,20.435,21.778,1.066,11.699,2.657,6.079
JA 111,JA1,no,no,2018,67.595,3.399,0.751,0.54,0.223,0.887,0,1.028,0,0,1.679,0.296,0,3.111,1.984,2.046,0.134,1.116,1.38,0.062,0,2.215,0.269,0.221,0.052,4.023,6.934,0,3.568,1.307,0,0.391,18.636,18.589,0.997,10.129,2.707,5.8
JA 112,JA1,no,no,2018,80.611,3.215,0.508,0.705,0.305,0.767,0,0.888,0.108,0,1.761,0.359,0.069,3.528,1.952,2.215,0.13,1.251,1.409,0.075,0,2.222,0.255,0.333,0.077,5.029,7.379,0,4.323,2.301,0,0.452,19.245,21.919,1.139,10.988,2.757,5.5
KK 73,KK1,no,yes,2018,219.355,8.199,1.289,1.681,1.489,2.555,0.338,2.324,0,0,5.138,1.327,0.069,10.583,6.769,5.59,0.35,2.849,3.57,0,0,5.935,0.443,0.851,0.285,14.68,18.288,0,13.527,4.465,0,1.59,54.12,58.474,1.08,31.107,7.462,15.551
KK 74,KK1,no,yes,2018,217.461,8.21,1.607,1.854,1.263,2.899,0,2.291,0,0,5.038,1.375,0.061,10.845,7.776,6.283,0.358,3.107,3.808,0.163,0,6.623,0.41,0.851,0.264,13.076,18.991,0,14.296,3.867,0,2.424,56.938,58.378,1.025,33.776,7.329,15.833
KK 75,KK1,no,yes,2018,389.633,12.311,1.917,2.792,2.84,5.039,0.353,3.717,0,0,7.405,2.498,0.141,16.857,11.423,9.349,0.556,4.53,5.56,0.399,0,11.378,0.99,1.279,0.629,21.639,37.121,0,25.046,0,18.828,5.072,87.687,116.91,1.333,51.313,11.122,25.252
KK 76,KK1,no,yes,2018,377.133,10.823,1.525,2.899,2.613,5.462,0,3.273,0,0,6.155,2.338,0.113,15.941,12.248,10.416,0.645,4.236,5.808,0.409,0,8.899,1.72,1.124,0.996,34.6,35.26,0,24.238,7.21,0,4.794,84.904,114.047,1.343,52.154,9.428,23.322
KK 77,KK2,no,yes,2018,253.381,7.395,1.654,2.404,1.52,3.747,0.218,2.597,0,0,5.347,1.381,0.082,11.971,6.814,7.155,0.451,3.761,4.256,0.35,0,5.086,0.984,0.701,0.834,11.142,19.855,0,10.199,0,11.643,1.731,61.103,60.444,0.989,36.221,7.944,16.938
KK 78,KK2,no,yes,2018,200.859,7.175,1.49,1.577,1.12,2.598,0.367,2.062,0,0,4.379,1.076,0.055,9.578,5.464,5.406,0.297,2.887,3.219,0.229,0,4.723,0.437,0.614,0.224,13.154,18.97,0,10.949,3.078,0,2.922,48.979,52.149,1.065,28.211,6.441,14.327
KK 79,KK2,no,yes,2018,162.366,6.853,1.01,1.348,0.804,2.014,0,1.863,0,0,3.979,0.872,0.043,8.432,4.746,4.519,0.268,2.533,2.858,0.137,0,4.345,0.392,0.544,0.222,9.54,14.86,0,9.379,2.896,0,2.524,42.279,42.178,0.998,24.408,5.842,12.029
KK 80,KK2,no,yes,2018,219.882,7.633,1.235,1.88,1.165,3.173,0,2.092,0,0,3.884,1.238,0.069,9.99,6.49,6.314,0.352,2.948,3.771,0.181,0,4.847,0.474,0.795,0.285,14.507,20.416,0,13.399,3.963,0,1.61,52.415,58.686,1.12,31.353,5.976,15.086
KK 81,KK3,no,yes,2018,170.216,6.085,0.86,1.414,0.793,2.259,0,1.629,0,0,3.368,0.95,0.045,7.555,5.211,4.661,0.275,2.281,2.913,0.141,0,5.021,0.458,0.59,0.222,10.118,16.254,0,12.755,2.632,0,2.585,40.44,48.05,1.188,24.032,4.997,11.411
KK 82,KK3,no,yes,2018,196.875,6.665,0.892,1.523,1.112,2.558,0,1.997,0,0,3.976,1.338,0,8.903,5.888,5.123,0.321,2.669,3.301,0.205,0,6.805,0.59,0.724,0.356,11.512,17.576,0,13.569,3.679,0,2.721,46.471,54.811,1.179,27.748,5.973,12.75
KK 83,KK3,no,yes,2018,278.835,9.055,1.118,2.212,1.403,3.241,0,2.678,0,0,5.083,1.904,0.083,12.307,8.814,7.66,0.43,3.814,4.756,0.26,0,11.365,1.005,0.886,0.6,13.639,24.673,0,18.643,5.943,0,4.834,64.818,76.754,1.184,40.028,7.761,17.029
KK 84,KK3,no,yes,2018,209.244,6.734,1.024,1.557,1.118,2.98,0,2.103,0,0,3.871,1.247,0.053,8.506,6.857,5.509,0.346,2.677,3.705,0.255,0,6.419,0.769,0.63,0.415,13.693,18.929,0,13.618,3.156,0,4.193,48.542,57.629,1.187,29.155,5.974,13.413
KS 129,KS3,minimal,no,2018,148.294,6.014,3.359,1.815,0.723,1.839,0,1.499,0,0,2.588,0.594,0.06,6.548,4.586,5.175,0.313,2.33,2.823,0.109,0,6.765,0.629,0.491,0.168,5.66,14.214,0,8.583,0,2.897,0.678,40.375,39.407,0.976,22.538,4.087,13.75
BS 103,BS2,no,yes,2018,140.784,7.766,2.705,1.519,0.912,2.05,0.039,1.814,0,0,3.822,0.549,0,5.852,3.237,3.805,0.237,2.132,2.795,0.156,0,6.842,0.681,0.432,0.208,8.145,15.673,0,9.707,2.471,0,1.612,39.39,44.159,1.121,18.763,5.636,14.991
BS 104,BS2,no,yes,2018,183.626,7.718,3.148,1.756,0.956,3.247,0.104,2.168,0,0.654,3.53,0.742,0,6.561,4.633,5.305,0.274,2.389,3.279,0.134,0,11.423,0.572,0.558,0.213,9.059,19.221,0,14.866,3.392,0,2.471,46.598,59.304,1.273,23.317,6.352,16.929
EE 108,EE2,no,yes,2018,164.085,8.434,1.953,2.044,0.72,2.458,0,2.068,0,0,3.772,0.677,0.059,8.447,4.615,5.321,0.345,2.653,3.147,0.18,0,3.774,0.725,0.508,0.404,7.135,15.168,0,10.117,4.517,0,2.459,46.893,42.348,0.903,25.444,5.84,15.609
TG 25,TG1,no,yes,2018,96.61,5.119,1.487,1.096,0.472,1.45,0,1.206,0,0,2.817,0.389,0,4.598,2.222,2.79,0.18,1.649,1.879,0.187,0,2.988,0,0.302,0.139,2.346,8.26,0,5.902,2.754,0,1.703,27.541,22.691,0.824,13.894,4.023,9.624
TG 26,TG1,no,yes,2018,113.327,5.422,1.572,1.248,0.545,1.582,0,1.226,0,0,2.445,0.471,0.042,4.712,2.583,3.203,0.211,1.673,1.983,0.111,0,2.902,0,0.372,0.13,5.062,11.209,0,6.281,2.953,0,0.727,29.029,28.909,0.996,14.989,3.671,10.369
TG 27,TG1,no,yes,2018,154.202,7.009,1.607,1.514,1.11,1.837,0,1.62,0,0,3.489,0.654,0.053,6.647,3.552,4.285,0.334,2.27,2.691,0.144,0,5.328,0.477,0.458,0.169,5.485,13.82,0,10.393,4.964,0,1.664,38.816,41.094,1.059,20.63,5.109,13.077
TG 28,TG1,no,yes,2018,171.025,6.451,1.296,1.67,1.153,1.963,0.203,1.923,0,0,3.103,0.784,0.078,6.653,3.759,4.511,0.346,2.311,2.893,0.291,0,4.017,0.597,0.495,0.227,10.312,12.761,0,9.459,5.151,0,1.51,39.388,43.019,1.092,21.626,5.026,12.736
TG 29,TG2,yes,yes,2018,127.023,5.525,1.33,0.926,0.963,1.356,0,1.363,0,0,2.965,0.58,0,5.448,2.947,2.991,0.194,1.7,2.064,0.156,0,3.541,0.415,0.352,0.168,8.604,12.124,0,8.978,1.922,0,3.197,30.508,36.104,1.183,16.08,4.328,10.1
TG 30,TG2,yes,yes,2018,168.098,7.508,1.538,1.2,1.565,1.784,0,2.067,0,0,4.014,0.673,0.039,6.782,3.762,3.63,0.267,2.356,2.807,0.27,0,4.417,0.466,0.577,0,16.25,16.794,0,11.557,2.704,0,1.949,40.262,52.765,1.311,20.586,6.081,13.595
TG 31,TG2,yes,yes,2018,263.026,10.16,1.664,1.864,2.502,2.764,0.118,3.132,0,0,5.37,1.395,0.189,11.007,6.743,5.985,0.434,3.433,4.246,0.333,0,7.044,0.492,1.013,0,24.672,24.547,0,20.282,0,4.304,1.809,61.339,82.354,1.343,33.765,8.502,19.072
TG 32,TG2,yes,yes,2018,184.335,7.768,1.616,1.451,2.014,1.985,0,2.336,0,0,3.835,0.752,0.046,7.3,4.235,3.835,0.315,2.554,3.06,0.294,0,4.71,0.651,0.717,0,14.399,16.93,0,11.902,2.833,0,2.895,43.396,52.142,1.202,22.391,6.171,14.834
