sample,field,tillage,irrigation,year,total.fame,actinomycete.67,actinomycete.83,actinomycete.85,actinomycete.99,actinomycete.105,actinomycete.119,g.minus.78,g.minus.100,g.minus.116,g.minus.117,g.plus.21,g.plus.22,g.plus.35,g.plus.37,g.plus.52,g.plus.53,g.plus.72,g.plus.73,g.plus.109,g.plus.111,amf.58,sap.fungi.87,sap.fungi.88,sap.fungi.89,sap.fungi.90,sap.fungi.91,sap.fungi.92,sap.fungi.93,sap.fungi.94,sap.fungi.95,euk.protozoa,BactSum,FungSum,FBRatio,GPosSum,GNegSum,ActSum
JB 11,JB3,no,yes,2017,136.528,6.037,1.538,0.896,0.519,1.14,0,1.285,0.106,0,3.55,0.588,0.051,5.86,3.1,3.075,0.223,1.877,1.838,0.11,0.609,9.138,0.332,0.337,0.124,7.904,27.081,0,7.733,0,2.643,0.835,32.402,55.292,1.706,17.331,4.941,10.13
JB 12,JB3,no,yes,2017,95.376,4.822,1.177,0.904,0.394,1.013,0,1.048,0.099,0,2.702,0.421,0,4.683,2.336,2.603,0.178,1.573,1.534,0.139,0,7.831,0.491,0.243,0.125,4.047,8.789,0,6.202,0,2.204,0.747,25.626,29.932,1.168,13.467,3.849,8.31
JB 1,JB1,no,yes,2017,178.541,7.54,2.217,1.265,0.692,1.854,0,1.738,0.284,0,4.767,0.775,0,7.056,4.161,3.891,0.309,2.53,2.688,0.555,0,6.105,0.563,0.652,0,14.6,25.9,0,11.189,0,2.102,1.246,42.322,61.111,1.444,21.965,6.789,13.568
JB 2,JB1,no,yes,2017,147.66,7.016,1.38,0.956,0.737,1.484,0,1.364,0.221,0,4.174,0.629,0,7.046,3.52,3.896,0.278,2.437,2.312,0.473,0.808,9.639,0.524,0.483,0.197,8.645,10.986,0,12.47,0,2.903,1.184,38.731,45.847,1.184,21.399,5.759,11.573
JB 3,JB1,no,yes,2017,240.443,8.324,1.568,1.991,1,2.3,0,1.886,0.217,0,4.89,1.078,0.074,9.611,5.726,6.362,0.437,3.172,3.588,0.38,0,18.855,0.579,0.76,0.263,15.993,23.974,0,22.305,0,3.994,2.409,52.604,86.723,1.649,30.428,6.993,15.183
JB 4,JB1,no,yes,2017,165.221,6.696,1.311,1.463,0.681,1.477,0,1.404,0.203,0,4.299,0.679,0.135,6.914,3.44,3.903,0.314,2.38,2.382,0.478,0,13.311,0.559,0.449,0.236,8.209,14.661,0,11.46,0,2.862,1.694,38.159,51.747,1.356,20.625,5.906,11.628
JB 5,JB2,minimal,no,2017,46.343,1.989,0.78,0.398,0.059,0.6,0,0.508,0,0,1.425,0.109,0,1.619,0.664,1.315,0.062,0.812,0.791,0.265,0.352,4.287,0.44,0,0.059,1.411,3.518,0,2.665,0,0.556,0.774,11.748,12.936,1.101,5.989,1.933,3.826
JB 6,JB2,minimal,no,2017,35.064,1.986,0.641,0.393,0.126,0.556,0,0.397,0,0,1.041,0.09,0,1.463,0.702,1.054,0.049,0.648,0.635,0,0,1.736,0,0.244,0,1.233,3.52,0,2.742,0,0.527,0.246,9.781,10.002,1.023,4.641,1.438,3.702
JB 7,JB2,minimal,no,2017,50.06,2.147,0.598,0.789,0.149,0.455,0,0.464,0,0,1.207,0.133,0,1.865,0.856,1.404,0.083,0.68,0.702,0,0,4.054,0.324,0,0,2.556,6.082,0,2.855,0,0.689,0.252,11.532,16.56,1.436,5.723,1.671,4.138
JB 8,JB2,minimal,no,2017,53.606,2.308,0.652,0.567,0.168,0.557,0,0.591,0.071,0,1.106,0.171,0,1.931,1.207,1.616,0.099,0.805,0.816,0.057,0,3.83,0.316,0.246,0,3.294,4.578,0,3.168,0,1.039,0.237,12.722,16.471,1.295,6.702,1.768,4.252
JB 9,JB3,no,yes,2017,158.8,6.46,1.285,1.301,0.808,1.849,0,1.529,0.136,0,3.945,0.814,0,8.201,4.621,5.382,0.311,2.766,2.945,0.193,0,4.911,0.458,0.627,0.225,7.793,13.069,0,11.011,0,4.586,1.031,42.546,42.68,1.003,25.233,5.61,11.703
JB 10,JB3,no,yes,2017,99.69,4.847,1.389,0.96,0.414,1.132,0,1.184,0.154,0,2.963,0.429,0.073,4.646,2.484,3.164,0.305,1.932,1.908,0.291,0,4.355,1.117,0,0.126,3.63,7.568,0,4.804,0,2.195,0.561,28.275,23.795,0.842,15.232,4.301,8.742
JB 11,JB3,no,yes,2017,110.297,4.478,0.865,0.85,0.669,1.241,0,1.054,0.117,0,2.622,0.484,0,5.209,3.105,3.705,0.206,1.845,2.01,0.208,0,3.349,0.35,0.437,0.095,9.787,9.723,0,7.875,0,2.404,0.529,28.668,34.02,1.187,16.772,3.793,8.103
