sample,texture,pHw,pHb,P,K,Mg,Ca,S1,B1,Zn1,Mn1,Fe1,Cu1,CEC,K2,Mg2,Ca2,H,OM,no3.ppm,nh4.ppm,
TG 30,sandy clay loam,8.2,7.8,133,1395,1798,4410,51,6.39,6.39,364,84,4.69,21.9,8.16,34.2,50.33,7.3,1.01,53.04,1.24,
TG 31,sandy clay loam,8,7.75,221,1544,2084,4607,52,6.16,9.12,424,82,5.19,24.18,8.18,35.91,47.63,8.27,1.21,63.78,1.08,
TG 32,sandy clay loam,8.2,7.85,128,1253,1658,4134,42,5.89,6.14,366,78,4.36,20.04,8.01,34.45,51.54,5.98,1,48.07,1.6,
TG 33,clay loam,8.3,7.75,95,1575,2113,5103,41,7.74,7.38,343,80,4.89,25.58,7.89,34.41,49.87,7.81,1.2,24.56,1.67,
TG 34,clay loam,8,7.8,117,1711,2432,6013,59,8.86,7.87,374,82,5.09,28.95,7.57,34.99,51.9,5.52,1.07,174,1.49,
TG 35,clay loam,8.4,7.75,92,1964,2391,5174,50,9.46,6.13,379,97,5.19,27.41,9.18,36.33,47.18,7.29,1.42,14.01,1.41,
TG 36,clay loam,8.2,7.8,48,1557,2235,4923,35,6.48,4.2,378,78,4.87,25.21,7.91,36.93,48.8,6.34,1.36,15.33,1.51,
RN 49,loam,7.8,7.8,105,2327,1535,4353,166,5.61,6.84,346,68,4.47,21.86,13.64,29.25,49.77,7.31,1.08,127.08,2.52,
RN 50,loam,8.1,7.8,49,1547,1621,4090,51,4.52,10.96,406,75,4.68,20.56,9.64,32.84,49.72,7.78,1.04,20.98,1.56,
RN 51,loam,7.7,7.8,58,1593,1530,4175,41,4.76,9.9,394,72,4.37,20.45,9.98,31.16,51.02,7.82,1.07,14.88,1.55,
RN 52,loam,7.5,7.85,39,1705,1549,4202,68,4.67,9.33,390,72,4.61,20.34,10.74,31.72,51.63,5.89,1.05,39.05,1.32,
RN 53,sandy clay loam,7.8,7.75,167,1113,1717,4472,86,6.17,3.15,341,92,5.02,21.76,6.55,32.87,51.37,9.19,0.8,19.69,1.72,
RN 54,sandy clay loam,7.8,7.75,119,1030,1892,4807,69,6.25,3.03,330,97,5.36,23.22,5.68,33.94,51.75,8.61,0.95,15.1,2.06,
RN 55,sandy clay loam,7.7,7.75,176,1128,1633,4062,71,5.05,3.37,319,94,4.54,20.4,7.08,33.34,49.76,9.8,0.8,7.77,4.77,
RN 56,sandy clay loam,7.9,7.8,128,1107,1690,4525,53,5.28,2.78,328,90,4.74,21.37,6.64,32.94,52.92,7.48,0.94,8.16,2.56,
RN 57,clay loam,8,7.75,189,1482,2203,5383,45,6.07,16.28,316,77,4.44,26.53,7.15,34.59,50.71,7.53,1.96,18.28,2.97,
RN 58,clay loam,7.8,7.75,47,1473,2082,4669,32,4.55,6.28,345,83,4.9,24.23,7.79,35.79,48.16,8.25,1.34,13.45,3.84,
